matrix,category,reordering,threads,gflops,time_ms
s3rmt3m3,Small,amd,2,3.1613,0.131
s3rmt3m3,Small,nd,2,2.9944,0.139
s3rmt3m3,Small,none,4,4.1308,0.101
s3rmt3m3,Small,rcm,4,3.2022,0.130
s3rmt3m3,Small,amd,4,3.3827,0.123
s3rmt3m3,Small,nd,4,4.3947,0.095
G3_circuit,Circuit,none,1,1.0987,13.945
G3_circuit,Circuit,rcm,1,1.5701,9.759
G3_circuit,Circuit,amd,1,1.1899,12.876
G3_circuit,Circuit,nd,1,1.1213,13.664
G3_circuit,Circuit,none,2,1.7441,8.785
G3_circuit,Circuit,rcm,2,3.0378,5.044
G3_circuit,Circuit,amd,2,2.3662,6.475
G3_circuit,Circuit,nd,2,2.3768,6.446
G3_circuit,Circuit,none,4,3.0432,5.035
G3_circuit,Circuit,rcm,4,5.6604,2.707
G3_circuit,Circuit,amd,4,4.6367,3.304
G3_circuit,Circuit,nd,4,4.6051,3.327
dgreen,Circuit,none,1,0.8867,86.302
dgreen,Circuit,rcm,1,1.6389,46.691
dgreen,Circuit,amd,1,1.6954,45.133
dgreen,Circuit,nd,1,1.7200,44.489
dgreen,Circuit,none,2,1.5872,48.209
dgreen,Circuit,rcm,2,3.2391,23.624
dgreen,Circuit,amd,2,3.1374,24.389
dgreen,Circuit,nd,2,3.2957,23.218
dgreen,Circuit,none,4,2.6978,28.364
dgreen,Circuit,rcm,4,6.2370,12.269
dgreen,Circuit,amd,4,6.1415,12.459
dgreen,Circuit,nd,4,6.2491,12.245
nv2,Circuit,none,1,0.5748,183.466
nv2,Circuit,rcm,1,1.6803,62.760
nv2,Circuit,amd,1,1.6811,62.730
nv2,Circuit,nd,1,1.7753,59.402
nv2,Circuit,none,2,0.9422,111.932
nv2,Circuit,rcm,2,3.2744,32.206
nv2,Circuit,amd,2,3.2970,31.986
nv2,Circuit,nd,2,3.5014,30.119
nv2,Circuit,none,4,1.8234,57.835
nv2,Circuit,rcm,4,6.3649,16.568
nv2,Circuit,amd,4,6.1752,17.077
nv2,Circuit,nd,4,6.6886,15.767
circuit5M,Circuit,none,1,1.5817,75.266
circuit5M,Circuit,rcm,1,1.6507,72.120
circuit5M,Circuit,amd,1,1.5841,75.151
circuit5M,Circuit,nd,1,1.1111,107.147
circuit5M,Circuit,none,2,1.9948,59.681
circuit5M,Circuit,rcm,2,2.4256,49.081
circuit5M,Circuit,amd,2,2.6524,44.883
circuit5M,Circuit,nd,2,1.3646,87.244
circuit5M,Circuit,none,4,2.3226,51.256
circuit5M,Circuit,rcm,4,4.0008,29.756
circuit5M,Circuit,amd,4,4.0176,29.632
circuit5M,Circuit,nd,4,1.6388,72.642
