matrix,category,reordering,threads,gflops,time_ms
s3rmt3m3,Small,amd,2,4.8858,0.085
s3rmt3m3,Small,nd,2,4.7615,0.087
s3rmt3m3,Small,none,4,8.9139,0.047
s3rmt3m3,Small,rcm,4,9.3388,0.044
s3rmt3m3,Small,amd,4,8.8306,0.047
s3rmt3m3,Small,nd,4,8.9293,0.047
G3_circuit,Circuit,none,1,1.1116,13.783
G3_circuit,Circuit,rcm,1,1.5669,9.778
G3_circuit,Circuit,amd,1,1.1700,13.095
G3_circuit,Circuit,nd,1,1.1432,13.402
G3_circuit,Circuit,none,2,1.7701,8.656
G3_circuit,Circuit,rcm,2,3.0656,4.998
G3_circuit,Circuit,amd,2,2.4045,6.372
G3_circuit,Circuit,nd,2,2.3917,6.406
G3_circuit,Circuit,none,4,3.1288,4.897
G3_circuit,Circuit,rcm,4,5.9501,2.575
G3_circuit,Circuit,amd,4,4.7169,3.248
G3_circuit,Circuit,nd,4,4.8034,3.190
dgreen,Circuit,none,1,0.8655,88.412
dgreen,Circuit,rcm,1,1.6461,46.486
dgreen,Circuit,amd,1,1.6853,45.405
dgreen,Circuit,nd,1,1.7337,44.137
dgreen,Circuit,none,2,1.5543,49.231
dgreen,Circuit,rcm,2,3.2362,23.645
dgreen,Circuit,amd,2,3.2176,23.781
dgreen,Circuit,nd,2,3.3067,23.141
dgreen,Circuit,none,4,2.6774,28.580
dgreen,Circuit,rcm,4,6.2401,12.262
dgreen,Circuit,amd,4,6.2388,12.265
dgreen,Circuit,nd,4,6.2950,12.156
nv2,Circuit,none,1,0.5516,191.191
nv2,Circuit,rcm,1,1.6832,62.652
nv2,Circuit,amd,1,1.6845,62.603
nv2,Circuit,nd,1,1.7678,59.655
nv2,Circuit,none,2,0.9753,108.130
nv2,Circuit,rcm,2,3.2837,32.115
nv2,Circuit,amd,2,3.3114,31.846
nv2,Circuit,nd,2,3.5135,30.015
nv2,Circuit,none,4,1.7997,58.596
nv2,Circuit,rcm,4,6.3425,16.627
nv2,Circuit,amd,4,6.3044,16.727
nv2,Circuit,nd,4,6.7687,15.580
circuit5M,Circuit,none,1,1.5846,75.128
circuit5M,Circuit,rcm,1,1.6390,72.635
circuit5M,Circuit,amd,1,1.6032,74.255
circuit5M,Circuit,nd,1,1.1072,107.522
circuit5M,Circuit,none,2,2.0136,59.123
circuit5M,Circuit,rcm,2,2.4583,48.428
circuit5M,Circuit,amd,2,2.6593,44.766
circuit5M,Circuit,nd,2,1.3982,85.144
circuit5M,Circuit,none,4,2.3232,51.244
circuit5M,Circuit,rcm,4,3.9614,30.052
circuit5M,Circuit,amd,4,3.9793,29.917
circuit5M,Circuit,nd,4,1.6387,72.649
